code,question_id,category,arm,run,dimension,scorer,score,weight,is_cs_only
,Q1,,B,1,grounding,cs,2,0.2,1
,Q1,,B,1,reasoning,cs,2,0.2,0
,Q1,,B,1,completeness,cs,1.667,0.2,0
,Q1,,B,1,usefulness,cs,2,0.2,0
,Q1,,B,1,creativity,cs,1.21,0.2,0
,Q1,,B,2,grounding,cs,2,0.2,1
,Q1,,B,2,reasoning,cs,2,0.2,0
,Q1,,B,2,completeness,cs,1.667,0.2,0
,Q1,,B,2,usefulness,cs,2,0.2,0
,Q1,,B,2,creativity,cs,1.21,0.2,0
,Q1,,L,1,grounding,cs,3,0.2,1
,Q1,,L,1,reasoning,cs,3,0.2,0
,Q1,,L,1,completeness,cs,3.5,0.2,0
,Q1,,L,1,usefulness,cs,3,0.2,0
,Q1,,L,1,creativity,cs,1.947,0.2,0
,Q1,,L,2,grounding,cs,3,0.2,1
,Q1,,L,2,reasoning,cs,3,0.2,0
,Q1,,L,2,completeness,cs,3.5,0.2,0
,Q1,,L,2,usefulness,cs,3,0.2,0
,Q1,,L,2,creativity,cs,1.632,0.2,0
,Q1,,L,3,grounding,cs,1,0.2,1
,Q1,,L,3,reasoning,cs,2,0.2,0
,Q1,,L,3,completeness,cs,1.667,0.2,0
,Q1,,L,3,usefulness,cs,2,0.2,0
,Q1,,L,3,creativity,cs,1.21,0.2,0
