code,question,arm,dimension,scorer,score,weight,is_cs_only
R1,Q3,,grounding,cs,1,0.2,1
R1,Q3,,reasoning,cs,4,0.2,0
R1,Q3,,completeness,cs,4.667,0.2,0
R1,Q3,,usefulness,cs,3.333,0.2,0
R1,Q3,,creativity,cs,2.347,0.2,0
R2,Q2,,grounding,cs,1,0.2,1
R2,Q2,,reasoning,cs,4,0.2,0
R2,Q2,,completeness,cs,5.0,0.2,0
R2,Q2,,usefulness,cs,4,0.2,0
R2,Q2,,creativity,cs,2.307,0.2,0
R3,Q1,,grounding,cs,3,0.2,1
R3,Q1,,reasoning,cs,4.667,0.2,0
R3,Q1,,completeness,cs,5.0,0.2,0
R3,Q1,,usefulness,cs,4.333,0.2,0
R3,Q1,,creativity,cs,3.6,0.2,0
R4,Q2,,grounding,cs,3,0.2,1
R4,Q2,,reasoning,cs,4,0.2,0
R4,Q2,,completeness,cs,5.0,0.2,0
R4,Q2,,usefulness,cs,4,0.2,0
R4,Q2,,creativity,cs,2.485,0.2,0
R5,Q3,,grounding,cs,1,0.2,1
R5,Q3,,reasoning,cs,4.5,0.2,0
R5,Q3,,completeness,cs,4.833,0.2,0
R5,Q3,,usefulness,cs,4,0.2,0
R5,Q3,,creativity,cs,2.35,0.2,0
R6,Q2,,grounding,cs,1,0.2,1
R6,Q2,,reasoning,cs,4.667,0.2,0
R6,Q2,,completeness,cs,5.0,0.2,0
R6,Q2,,usefulness,cs,4,0.2,0
R6,Q2,,creativity,cs,2.512,0.2,0
R7,Q3,,grounding,cs,1,0.2,1
R7,Q3,,reasoning,cs,4.5,0.2,0
R7,Q3,,completeness,cs,5.0,0.2,0
R7,Q3,,usefulness,cs,4,0.2,0
R7,Q3,,creativity,cs,2.804,0.2,0
R8,Q1,,grounding,cs,3,0.2,1
R8,Q1,,reasoning,cs,4.667,0.2,0
R8,Q1,,completeness,cs,5.0,0.2,0
R8,Q1,,usefulness,cs,4,0.2,0
R8,Q1,,creativity,cs,2.727,0.2,0
R9,Q1,,grounding,cs,1,0.2,1
R9,Q1,,reasoning,cs,4.667,0.2,0
R9,Q1,,completeness,cs,5.0,0.2,0
R9,Q1,,usefulness,cs,4.333,0.2,0
R9,Q1,,creativity,cs,2.965,0.2,0
