code,question_id,category,arm,run,dimension,scorer,score,weight,is_cs_only
R1,Q3,3,R1,1,grounding,cs,2,0.2,1
R1,Q3,3,R1,1,reasoning,cs,4.5,0.2,0
R1,Q3,3,R1,1,completeness,cs,4.75,0.2,0
R1,Q3,3,R1,1,usefulness,cs,4.5,0.2,0
R1,Q3,3,R1,1,creativity,cs,1.8,0.2,0
R2,Q_ERGO,1,R2,1,grounding,cs,3,0.2,1
R2,Q_ERGO,1,R2,1,reasoning,cs,5,0.2,0
R2,Q_ERGO,1,R2,1,completeness,cs,4.667,0.2,0
R2,Q_ERGO,1,R2,1,usefulness,cs,5,0.2,0
R2,Q_ERGO,1,R2,1,creativity,cs,2.298,0.2,0
R3,Q_ERGO,1,R3,1,grounding,cs,2,0.2,1
R3,Q_ERGO,1,R3,1,reasoning,cs,5,0.2,0
R3,Q_ERGO,1,R3,1,completeness,cs,4.667,0.2,0
R3,Q_ERGO,1,R3,1,usefulness,cs,5,0.2,0
R3,Q_ERGO,1,R3,1,creativity,cs,2.082,0.2,0
R4,Q2,2,R4,1,grounding,cs,2,0.2,1
R4,Q2,2,R4,1,reasoning,cs,3,0.2,0
R4,Q2,2,R4,1,completeness,cs,4.25,0.2,0
R4,Q2,2,R4,1,usefulness,cs,4,0.2,0
R4,Q2,2,R4,1,creativity,cs,1.486,0.2,0
R5,Q3,3,R5,1,grounding,cs,4,0.2,1
R5,Q3,3,R5,1,reasoning,cs,5,0.2,0
R5,Q3,3,R5,1,completeness,cs,4.5,0.2,0
R5,Q3,3,R5,1,usefulness,cs,4.667,0.2,0
R5,Q3,3,R5,1,creativity,cs,1.786,0.2,0
R6,Q2,2,R6,1,grounding,cs,3,0.2,1
R6,Q2,2,R6,1,reasoning,cs,4.333,0.2,0
R6,Q2,2,R6,1,completeness,cs,4.167,0.2,0
R6,Q2,2,R6,1,usefulness,cs,4.667,0.2,0
R6,Q2,2,R6,1,creativity,cs,1.896,0.2,0
